@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

weather.symbolic,5,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,12,2,1,1,0,50,50,0,0,0.5,0.520008,100,100,2.122857,2.122857,0,1.061428,1.061428,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,882,2509,1819,100,100,?,?
weather.symbolic,5,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,12,2,1,1,0,50,50,0,0,0.5,0.520008,100,100,2.122857,2.122857,0,1.061428,1.061428,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,882,2509,1819,100,100,?,?
weather.symbolic,5,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,5,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,5,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,5,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,5,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,5,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,0,1,0,0,100,0,0,0.666667,0.666667,100,100,1.584963,1.584963,0,1.584963,1.584963,0,0,0,0,?,0,1,1,0,0,?,0,0,?,?,?,?,?,0,?,?,1,?,0,?,?,?,1,?,0,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,6,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,12,2,1,1,0,50,50,0,0,0.5,0.520008,100,100,2.122857,2.122857,0,1.061428,1.061428,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,882,2509,1819,100,100,?,?
weather.symbolic,6,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,12,2,1,1,0,50,50,0,0,0.5,0.520008,100,100,2.122857,2.122857,0,1.061428,1.061428,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0.015,0,0,0,0,0,882,2509,1819,100,100,?,?
weather.symbolic,6,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,12,2,1,1,0,50,50,0,0,0.5,0.520008,100,100,2.122857,2.122857,0,1.061428,1.061428,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,882,2509,1819,100,100,?,?
weather.symbolic,6,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,12,2,1,1,0,50,50,0,0,0.5,0.520008,100,100,2.122857,2.122857,0,1.061428,1.061428,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,882,2509,1819,100,100,?,?
weather.symbolic,6,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,6,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,6,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,6,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,6,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,6,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,0,1,0,0,100,0,0,0.666667,0.666667,100,100,1.584963,1.584963,0,1.584963,1.584963,0,0,0,0,?,0,1,1,0,0,?,0,0,?,?,?,?,?,0,?,?,1,?,0,?,?,?,1,?,0,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,7,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,12,2,1,1,0,50,50,0,0,0.5,0.520008,100,100,2.122857,2.122857,0,1.061428,1.061428,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,882,2509,1819,100,100,?,?
weather.symbolic,7,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,12,2,1,1,0,50,50,0,0,0.5,0.520008,100,100,2.122857,2.122857,0,1.061428,1.061428,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,882,2509,1819,100,100,?,?
